Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
2,100,50,0.8,0.30000000000000004,0.6000000000000001,0.2,0.3076923076923077,0.2828282828282828,0:05:53.407065
2,140,35,0.2,0.30000000000000004,0.2,0.6000000000000001,0.3503118503118503,0.2996632996632997,0:05:06.156362
2,120,41,1.0,0.1,0.8,0.2,0.3212058212058212,0.2845117845117845,0:03:13.311547
2,100,50,0.2,0.1,0.8,0.8,0.27546777546777546,0.23737373737373738,0:01:53.183272
2,100,50,0.6000000000000001,0.30000000000000004,0.2,0.8,0.35550935550935553,0.3114478114478115,0:05:36.601571
2,100,50,1.0,0.30000000000000004,1.0,0.2,0.29002079002079,0.24242424242424243,0:06:02.584695
2,100,50,0.4,0.30000000000000004,0.2,0.2,0.369022869022869,0.3468013468013468,0:05:25.738624
2,100,50,0.2,0.1,0.8,1.0,0.27546777546777546,0.23737373737373738,0:01:57.686592
2,120,41,1.0,0.1,0.8,0.4,0.2972972972972973,0.2727272727272727,0:03:23.358872
2,100,50,0.2,0.1,1.0,0.2,0.2920997920997921,0.2777777777777778,0:01:58.623691
2,140,35,0.2,0.30000000000000004,0.2,0.8,0.38357588357588357,0.31986531986531985,0:05:15.398517
2,120,41,0.2,0.5,0.2,1.0,0.35550935550935553,0.32323232323232326,0:17:59.922837
2,100,50,0.8,0.30000000000000004,0.6000000000000001,0.4,0.3482328482328482,0.32491582491582494,0:16:28.282263
2,100,50,0.2,0.1,1.0,0.4,0.2806652806652807,0.25084175084175087,0:12:21.913054
2,100,50,0.6000000000000001,0.30000000000000004,0.2,1.0,0.3762993762993763,0.34175084175084175,0:16:16.045341
2,120,41,1.0,0.1,0.8,0.6000000000000001,0.3212058212058212,0.2946127946127946,0:40:08.652456
2,120,41,0.4,0.5,0.6000000000000001,1.0,0.33471933471933474,0.27104377104377103,0:45:55.274343
2,100,50,1.0,0.30000000000000004,1.0,0.4,0.31185031185031187,0.33164983164983164,0:43:39.710485
2,100,50,0.4,0.30000000000000004,0.2,0.4,0.37733887733887733,0.3400673400673401,0:43:01.139279
2,100,50,0.2,0.1,1.0,0.6000000000000001,0.2806652806652807,0.25084175084175087,0:31:01.970534
